# Section III: Expanded Fixed Star Catalogue (The Eighth Sphere)

## 1. Principles of the Fixed Stars

The Fixed Stars (Stellae Fixae) reside in the Eighth Sphere, beyond the planets. Their motion is due to Precession (approx. 1° every 72 years).

*   **Epoch:** J2000.0 Positions.
*   **Orbs of Influence (Lilly/Robson):**
    *   **1st Magnitude:** 7°30' (Traditional) / 2°30' (Strict)
    *   **2nd Magnitude:** 5°30' (Traditional) / 1°40' (Strict)
    *   **3rd Magnitude:** 3°30' (Traditional) / 1°00' (Strict)
    *   **4th Magnitude:** 1°30' (Traditional) / 0°30' (Strict)
*   **Effect:** Stars primarily operate by **Conjunction** (Projected to the Ecliptic) or by **Paran** (Co-rising/Co-culminating). Aspects are rarely used except for Opposition.

Key: **(B)** = Behenian Star (Medieval Magical Star).

---

## 2. The Catalogue of Critical Stars

| Star Name | Constellation | Longitude (J2000) | Mag | Nature | Traditional Signification & Source |
| :--- | :--- | :--- | :--- | :--- | :--- |
| **Alpheratz** | Andromeda | 14°18' Aries | 2.1 | Jup/Ven | Independence, freedom, love, riches, honor. (Ptolemy) |
| **Baten Kaitos** | Cetus | 21°57' Aries | 3.9 | Sat/Mar | Shipwreck, isolation, depression, falls, blows. (Robson) |
| **Mirach** | Andromeda | 00°24' Taurus | 2.4 | Ven | Beauty, love, lasting marriage, brilliance. (Ptolemy) |
| **Hamal** | Aries | 03°51' Taurus | 2.2 | Mar/Sat | Violence, cruelty, premeditated crime. Head injury. (Ptolemy) |
| **Schedir** | Cassiopeia | 07°47' Taurus | 2.5 | Sat/Ven | Respect, decency, seriousness. (Robson) |
| **Menkar** | Cetus | 14°19' Taurus | 2.8 | Sat | Disease, throat trouble, disgrace, ruin, beasts. (Ptolemy) |
| **Caput Algol** **(B)** | Perseus | 26°10' Taurus | 2.1 | Sat/Jup | **The Demon Star.** Decapitation, violence, mob violence, strangulation. The most evil star in the heavens. (Ptolemy/Lilly) |
| **Alcyone (Pleiades)** **(B)** | Taurus | 00°00' Gemini | 3.0 | Mar/Moon | Blindness, sorrow, tragedies, bereavement. (Ptolemy) |
| **Aldebaran** **(B)** | Taurus | 09°47' Gemini | 1.0 | Mars | **Royal Star (Watcher of East).** Honor, intelligence, eloquence, but danger of violence if afflicted. (Ptolemy) |
| **Rigel** | Orion | 16°50' Gemini | 0.3 | Jup/Mar | Military/ecclesiastical preferment, great ambition, high honors. (Ptolemy/Robson) |
| **Bellatrix** | Orion | 20°57' Gemini | 1.7 | Mar/Mer | Military/civil honors, quick decisions, but danger of accidents. (Ptolemy) |
| **Capella** **(B)** | Auriga | 21°51' Gemini | 0.2 | Mar/Mer | Honor, wealth, eminence, renown, public position. (Ptolemy) |
| **Alnilam** | Orion | 23°28' Gemini | 1.8 | Jup/Sat | Fleeting public honors. (Robson) |
| **Polaris** **(B)** | Ursa Minor | 28°34' Gemini | 2.1 | Sat/Ven | Sickness, trouble, loss, affliction. (Ptolemy) |
| **Betelgeuse** | Orion | 28°45' Gemini | 0.8 | Mar/Mer | Martial honor, preferment, wealth. (Ptolemy) |
| **Sirius** **(B)** | Canis Major | 14°05' Cancer | -1.4 | Jup/Mar | **The Dog Star.** High office, fame, honor, burning heat, passion, danger of dog bites. (Ptolemy) |
